nazev;cena;jednotka;kategorie;kategorie_orig
"""O"" kroužek tlak.patr.36x3 PG6Hi1,2";6.116;ks;ND_HP;ND HP
Držadlo - objímka S6;86.116;ks;ND_HP;ND HP
Držák Delta W+PG;45.455;ks;ND_HP;ND HP
Držák Delta W+PG NEURUPPIN;62.397;ks;ND_HP;ND HP
Držák P1Tlm,PG1L/Le/Lx;76.86;ks;ND_HP;ND HP
Držák P6Pa/P6Tlm - automobilní;112.81;ks;ND_HP;ND HP
Držák P6Pa/P6Tlm - krátký;61.488;ks;ND_HP;ND HP
Držák PG-6Hi - automobilní;87.107;ks;ND_HP;ND HP
Držák PG2L Hi NEURUPPIN;81.983;ks;ND_HP;ND HP
Držák PG2L/Le;83.306;ks;ND_HP;ND HP
Držák PG4(6)L/Le (nád.krátký);44.876;ks;ND_HP;ND HP
Držák PG4L/Le automob. (nádob);128.182;ks;ND_HP;ND HP
Držák PG4L/Le automob. (vent.);128.182;ks;ND_HP;ND HP
Držák PG6L/Le automob. (nád);140.992;ks;ND_HP;ND HP
Držák PG6L/Le automob. (vent.);140.992;ks;ND_HP;ND HP
Držák S1,5 Kodreta;61.488;ks;ND_HP;ND HP
Držák S1,5,2 H/H, KOVO;66.612;ks;ND_HP;ND HP
Držák S5,6 H/H, H/H, KOVO;25.62;ks;ND_HP;ND HP
Držák S6 Kodreta;15.372;ks;ND_HP;ND HP
Držák V8,PG4,6L/le (vent.);43.967;ks;ND_HP;ND HP
Držák V8,PG6L/Le,PP6Le (nád.dlouhý);44.876;ks;ND_HP;ND HP
Držák V8Pa - dlouhý;66.612;ks;ND_HP;ND HP
Držák V9 Kovoslužba;76.86;ks;ND_HP;ND HP
Držák V9L/LE TEPOSTOP;62.479;ks;ND_HP;ND HP
Držák V9T (ventil) H/H - černý;62.479;ks;ND_HP;ND HP
Držák ventilu P6,V8Pa, P6Tlm;19.256;ks;ND_HP;ND HP
Držák ventilu PG4,6,V8L;19.256;ks;ND_HP;ND HP
EBUR 3042-1 prům. 23M10x1x12 V9;96.116;ks;ND_HP;ND HP
EBUR EB101/M10x1x12,5 PG1,2L;96.116;ks;ND_HP;ND HP
EBUR EB101/M10x1x12,5 PG4,6L;96.116;ks;ND_HP;ND HP
EBUR EB101/M10x1x12,5 V8L,V9LE;96.116;ks;ND_HP;ND HP
Hadice T6H;408.182;ks;ND_HP;ND HP
Hadice V8L/Le;76.86;ks;ND_HP;ND HP
Hadice V8PA;83.306;ks;ND_HP;ND HP
Hadice V9LE TEPOSTOP;83.306;ks;ND_HP;ND HP
Hadice V9T/Ti HASTEX;110.0;ks;ND_HP;ND HP
Hadice k S2x30 / S4x30 10(12)m;2398.017;ks;ND_HP;ND HP
Hadice k S30 5(6)m;1473.719;ks;ND_HP;ND HP
Hadice poj. HP P50T - délka 4m;1495.041;ks;ND_HP;ND HP
Hadice s pistolí PG6Hi1 NEURUPPIN;329.835;ks;ND_HP;ND HP
Hadice s pistolí PG6Hi1 NEURUPPIN R;205.041;ks;ND_HP;ND HP
Hadice s pistolí W6,10 Hi NEU-REP.;205.041;ks;ND_HP;ND HP
Hadice s pistolí W6,10 Hi NEURUPPIN;329.504;ks;ND_HP;ND HP
Hadice sestav.P6Tlm,P6Pa;51.24;ks;ND_HP;ND HP
Hadice sestav.PG6L;67.273;ks;ND_HP;ND HP
Hadice sestav.PG6Le;67.273;ks;ND_HP;ND HP
Hadice sestavená 6P KT KOVOSLUŽBA;70.496;ks;ND_HP;ND HP
Hadice sestavená P6T /Te;67.273;ks;ND_HP;ND HP
Hadice sestavená PG6PDC;156.033;ks;ND_HP;ND HP
Hadice sestavená PP6Le;162.479;ks;ND_HP;ND HP
Hasivo HALOTRON;1140.579;kg;ND_HP;ND HP
Hasivo prášek Centrimax ABC 40;48.678;ks;ND_HP;ND HP
Hasivo prášek FAVORIT 111;0.0;ks;ND_HP;ND HP
Hasivo prášek Neutrex ABC 70 - NEUR;50.496;kg;ND_HP;ND HP
Hasivo prášek Totalit/Pulvex/Furex;44.463;kg;ND_HP;ND HP
Hasivo sůl Potaš K2CO3;25.62;kg;ND_HP;ND HP
Hubice (proudnice) S2/S5 Če;118.76;ks;ND_HP;ND HP
Kleště plombovací saturne 10;1698.017;ks;ND_HP;ND HP
Kornout S6 Kodreta;61.488;ks;ND_HP;ND HP
Kroužek 14x10 P1,2 (P6Tlm,P6,V8Pa);1.24;ks;ND_HP;ND HP
Kroužek 28x3,55 hlavy PG1,2,4,6 V8L;6.446;ks;ND_HP;ND HP
Kroužek 36x28 (PN029283) P1,2,6Tlm;1.24;ks;ND_HP;ND HP
Kroužek 6,9x1,8 (PN029283) Ebur;1.24;ks;ND_HP;ND HP
Kroužek 8x4 (PN029283) P1,2,6Tlm;1.24;ks;ND_HP;ND HP
Kroužek klíčový V8L,V9,S5;1.901;ks;ND_HP;ND HP
Kuželka ventilu T2H/T6H;128.182;ks;ND_HP;ND HP
Manometr P6Če/P6ČEa/P6ČE2;153.884;ks;ND_HP;ND HP
Matice M5 P6Pa,Tlm,V8Pa;0.661;ks;ND_HP;ND HP
Membrána pojistného ventilu S6 Kodr;15.62;ks;ND_HP;ND HP
Mlhová clonka W10Hi1;4.463;ks;ND_HP;ND HP
Náraz.armatura PG6Hi AL;134.959;ks;ND_HP;ND HP
Náraz.armatura W+PG mosaz;134.959;ks;ND_HP;ND HP
Návelk páky S30 - PVC kulatý;40.331;ks;ND_HP;ND HP
Návelk páky S30 - pryž plochý;40.331;ks;ND_HP;ND HP
Návlek nádoby P,PG,V - Tlm,Pa,L,Le;46.116;ks;ND_HP;ND HP
Návlek nádoby P2Tlm;6.446;ks;ND_HP;ND HP
Ochranný kryt ventilu lahve S30;150.0;ks;ND_HP;ND HP
Okénko EBUR P1,2,6 Tlm;2.562;ks;ND_HP;ND HP
Plomba ACETAT C.11 (balení);253.802;ks;ND_HP;ND HP
Pojistka P1,2,6 Tlm, V6,V8Pa;16.694;ks;ND_HP;ND HP
Pojistka PG1,2L;10.248;ks;ND_HP;ND HP
Pojistka PG4,6,V8L;12.81;ks;ND_HP;ND HP
Pojistka nárazníku PVC W+PG Hi1,2;9.504;ks;ND_HP;ND HP
Pojistka nárazníku kov. PG6Hi1,2;38.595;ks;ND_HP;ND HP
Pojistka paky ventilu KT 06.08/EN3;18.347;ks;ND_HP;ND HP
Pojistka sp.armatury 4/6 PKT Kovo.;25.041;ks;ND_HP;ND HP
Pojistný ventil 19bar W+PG;88.926;ks;ND_HP;ND HP
Pojistný ventil 19bar W+PG REPAS;46.116;ks;ND_HP;ND HP
Pojistný ventil S6;0.0;ks;ND_HP;ND HP
Proudnice S1,5;51.24;ks;ND_HP;ND HP
Proudnice S2;87.107;ks;ND_HP;ND HP
"Proudnice S30 1""/3/4""";798.347;ks;ND_HP;ND HP
"Proudnice S6 - 1"" Kodreta";399.835;ks;ND_HP;ND HP
"Proudnice S6(5) - 3/4"" Kodreta";399.835;ks;ND_HP;ND HP
Proudnice T6H;243.471;ks;ND_HP;ND HP
