nazev;cena;jednotka;kategorie;kategorie_orig
B75 - pero ocelové spojky;3.884;ks;ND_VODA;ND VODA
B75 těsnění nástavce kožené 110;36.942;ks;ND_VODA;ND VODA
B75 těsnění nástavce pryžové 110;56.281;ks;ND_VODA;ND VODA
B75 těsnění pryžové/manžeta spojky;10.413;ks;ND_VODA;ND VODA
B75 těsnění pryžové/ploché spojky;6.777;ks;ND_VODA;ND VODA
C52 - dvířka k hydrantové skříni;189.669;ks;ND_VODA;ND VODA
C52 - pero ocelové spojky;3.306;ks;ND_VODA;ND VODA
C52 těsnění pryžové/manžeta spojky;7.603;ks;ND_VODA;ND VODA
C52 těsnění pryžové/ploché spojky;5.62;ks;ND_VODA;ND VODA
D25 - klíč servisní  HASIL;89.669;ks;ND_VODA;ND VODA
D25 - pero ocelové spojky;2.562;ks;ND_VODA;ND VODA
D25 dvířka k hydrantové skříni;128.182;ks;ND_VODA;ND VODA
D25 sklo PVC skříně GEOS;294.132;ks;ND_VODA;ND VODA
D25 těsnění pryžové/manžeta spojky;7.025;ks;ND_VODA;ND VODA
D25 těsnění pryžové/ploché spojky;4.38;ks;ND_VODA;ND VODA
Klička + zámek skříně C52;50.0;ks;ND_VODA;ND VODA
Klička okenní na táhla skříně C52;35.041;ks;ND_VODA;ND VODA
Klíček ZSLE1-011 - výrobky Pavliš;26.612;ks;ND_VODA;ND VODA
"Kohout kulový 1""";100.826;ks;ND_VODA;ND VODA
Kolečko ovládací - ostatní;12.81;ks;ND_VODA;ND VODA
"Kolečko ovládací 1""";15.372;ks;ND_VODA;ND VODA
"Kolečko ovládací 1/2""";13.802;ks;ND_VODA;ND VODA
"Kolečko ovládací 3/4"" (D25)";25.041;ks;ND_VODA;ND VODA
Kryt PVC uzávěru skříně HASIL;76.86;ks;ND_VODA;ND VODA
Nástavec pro klíč k podzem.hydrantu;105.207;ks;ND_VODA;ND VODA
Pojistková patrona 500V / 25A;10.661;ks;ND_VODA;ND VODA
Pojistková patrona 500V / 6A;9.835;ks;ND_VODA;ND VODA
Rozbitný kryt HY systému MANFREDI;461.322;ks;ND_VODA;ND VODA
