nazev;cena;jednotka;kategorie;kategorie_orig
B75 - nástavec podzemního hydrantu;0.0;ks;VODA;VODA
B75 - set nástavce DN80 (špingle);0.0;ks;VODA;VODA
B75 hadice ZYFIRE TECHNO /spojka AL;2276.033;ks;VODA;VODA
B75 hadice pož. ZÁSAH (5m)/spojk.AL;517.521;ks;VODA;VODA
B75 hadice pož. ZÁSAH / spojka AL;2070.0;ks;VODA;VODA
B75 nástavec podz. hydrantu s kul.u;4777.521;ks;VODA;VODA
B75 spojka hadicová AL;227.851;pár;VODA;VODA
B75 spojka pevná AL;134.711;ks;VODA;VODA
B75 víčko tlakové AL;131.24;ks;VODA;VODA
C52 - Ochrana hadic PREVENT;252.81;ks;VODA;VODA
C52 HADLOCK;246.529;ks;VODA;VODA
C52 hadice ZYFIRE TECHNO /spojka AL;1503.967;ks;VODA;VODA
C52 hadice chem. TECHMATEX spoj.AL;2000.0;ks;VODA;VODA
C52 hadice pož. HYDRANT / spojka AL;1237.521;ks;VODA;VODA
C52 hadice pož. ZÁSAH /spojka AL;1372.479;ks;VODA;VODA
C52 hadice pož.hyd.ZYFIRE/spojka AL;990.0;ks;VODA;VODA
C52 hydrantový systém ČSN EN 671-2;5312.479;ks;VODA;VODA
C52 nástěnný hydrant/kohout AL;569.669;ks;VODA;VODA
C52 nástěnný hydrant/kohout MS;875.041;ks;VODA;VODA
C52 proudnice PVC/AL kombi(třícest);660.0;ks;VODA;VODA
C52 proudnice TAJFUN-TURBO;464.298;ks;VODA;VODA
C52 proudnice plast.kombi.(třícest);575.785;ks;VODA;VODA
C52 proudnice plastová (dvoucestná);464.38;ks;VODA;VODA
C52 skříň násť.hydrantu 50x57x18cm;1091.983;ks;VODA;VODA
C52 skříň násť.hydrantu 50x57x21cm;655.372;ks;VODA;VODA
C52 spojka hadicová AL;158.017;pár;VODA;VODA
C52 spojka pevná AL;86.942;ks;VODA;VODA
C52 víčko tlakové zaslepovací AL;73.719;ks;VODA;VODA
C52 zámek skříňě hydrant. 50x57;83.967;ks;VODA;VODA
D19/20m ReAl hydrantový systém;5600.0;ks;VODA;VODA
D19/20m hydrantový systém P a H;6696.033;ks;VODA;VODA
D19/30m hydrantový systém P a H;7451.983;ks;VODA;VODA
D25 - Ochrana hadic PREVENT;232.893;ks;VODA;VODA
D25 hadice HYDRANT / spoj AL;787.521;ks;VODA;VODA
D25 hadice HYDRANT / spoj PVC;765.041;ks;VODA;VODA
D25 hadice POŽÁR / AL - ZIFIRE;736.529;ks;VODA;VODA
D25 hadice ZÁSAH / spojka AL;810.0;ks;VODA;VODA
D25 hydrant/kohout mosaz/bez spoj.;201.901;ks;VODA;VODA
D25 hydrant/kohout mosaz/spoj AL;274.38;ks;VODA;VODA
D25 proudnice kombi./spoj.AL/pr.10;209.504;ks;VODA;VODA
D25 proudnice kombi./spoj.PVC/pr.6;187.19;ks;VODA;VODA
D25 proudnice přímá/spojka PVC/pr 5;78.43;ks;VODA;VODA
D25 skříň hydrantová 46x46x11cm;581.901;ks;VODA;VODA
D25 spojka hadicová AL;109.008;pár;VODA;VODA
D25 spojka hadicová PVC;81.24;pár;VODA;VODA
D25 spojka pevná AL;67.521;ks;VODA;VODA
D25 spojka pevná PVC;47.769;ks;VODA;VODA
D25 víčko tlakové PVC;55.041;ks;VODA;VODA
D25/20m ReAl hydrantový systém;5600.0;ks;VODA;VODA
D25/20m hydr.systém P a H /sklo;7343.967;ks;VODA;VODA
D25/20m hydrantový systém P a H;7020.0;ks;VODA;VODA
D25/30m ReAl hydrantový systém;5600.0;ks;VODA;VODA
D25/30m hydr. systém P a H sklo;8100.0;ks;VODA;VODA
D25/30m hydrantový systém P a H;7776.033;ks;VODA;VODA
D33/30m pěnotv.hydrantový systém PH;32450.0;ks;VODA;VODA
Hydrantový box - zámek/okénko;4200.0;ks;VODA;VODA
Hydrantový box - zámek/okénko HH;4499.6;ks;VODA;VODA
Klíč k nadzemnímu hydrantu;790.826;ks;VODA;VODA
Klíč k podzemnímu hydrantu;453.719;ks;VODA;VODA
Klíč k podzemnímu hydrantu HH;540.0;ks;VODA;VODA
Klíč nadzemnímu/podzemnímu hadrantu;0.0;ks;VODA;VODA
Klíč spojky a šroubení 110/75(52);144.545;ks;VODA;VODA
Klíč spojky a šroubení 125/75;152.479;ks;VODA;VODA
Klíč spojky a šroubení 75/52;143.719;ks;VODA;VODA
Klíč spojky a šroubení 75/52 B/C HH;204.0;ks;VODA;VODA
"Přechod 32/25 (5/4"" /1"") PVC";47.769;ks;VODA;VODA
Přechod 52/25 (C/D) AL;216.033;ks;VODA;VODA
Přechod 52/25 (C/D) PVC;55.124;ks;VODA;VODA
Přechod 75/52 (B/C) AL;189.917;ks;VODA;VODA
