nazev;cena;jednotka;kategorie;kategorie_orig
Info tab PVC/SAM foto. 150x150 HP;0.0;ks;TABFOTO;TABFOTO
Info.AL.fotolumin. 200x200mm;173.967;ks;TABFOTO;TABFOTO
Info.AL.fotolumin. 300x150mm;203.967;ks;TABFOTO;TABFOTO
Info.plast.fotolumin. 100x100mm;57.438;ks;TABFOTO;TABFOTO
Info.plast.fotolumin. 150 x 150mm;68.76;ks;TABFOTO;TABFOTO
Info.plast.fotolumin. 200x100mm;53.884;ks;TABFOTO;TABFOTO
Info.plast.fotolumin. 200x200mm;173.967;ks;TABFOTO;TABFOTO
Info.plast.fotolumin. 300x150mm;150.0;ks;TABFOTO;TABFOTO
Info.samolep.fotolumin. 200x200mm;40.0;ks;TABFOTO;TABFOTO
Info.samolep.fotolumin. 300x150;115.207;ks;TABFOTO;TABFOTO
Info.samolep.fotolumin. 300x150mm;143.967;ks;TABFOTO;TABFOTO
