nazev;cena;jednotka;kategorie;kategorie_orig
Autom.has.systém Firestop PG1F 4m;3303.388;ks;HP;HP
Cvičný přístroj VS5;1300.0;ks;HP;HP
Držák hasicího spreje PYROCOM;27.769;ks;HP;HP
Has.přístroj CA6LE;0.0;ks;HP;HP
Has.přístroj K5 BETA Z;0.0;ks;HP;HP
Has.přístroj P2 BETA L (13A/70B/C;310.0;ks;HP;HP
Has.přístroj P6BETA-Z(34A/233B/C);830.992;ks;HP;HP
Has.přístroj P6Če (21A/113B/C);618.017;ks;HP;HP
Has.přístroj RAIMA P6 (34A/183B/C);899.008;ks;HP;HP
Hasicí přístroj P50 HASTEX;11789.917;ks;HP;HP
Hasicí přístroj P6Če2 (34A/183B/C);830.992;ks;HP;HP
Hasicí přístroj P6ČeA (34A/183B/C);830.992;ks;HP;HP
Hasicí přístroj PDE6 (34A/183B/C);830.992;ks;HP;HP
Hasicí přístroj PG1LE Tepostop;563.884;ks;HP;HP
Hasicí přístroj PG2LE Tepostop;656.116;ks;HP;HP
Hasicí přístroj PG4LE Tepostop;922.727;ks;HP;HP
Hasicí přístroj PG6LE Tepostop;973.967;ks;HP;HP
Hasicí přístroj PG6LE/SUPER Teposto;899.008;ks;HP;HP
Hasicí přístroj PG6LEc Tepostop;650.0;ks;HP;HP
Hasicí přístroj PP-6Le Tepostop;1402.479;ks;HP;HP
Hasicí přístroj STAR CA2 Tepostop;4613.471;ks;HP;HP
Hasicí přístroj V9LE Tepostop;1015.124;ks;HP;HP
Hasicí přístroj V9LEc Tepostop;765.041;ks;HP;HP
Potravinářská lahev 6kg CO2;1332.81;ks;HP;HP
Povlak /PVC obal na HP P50/PP50;700.0;ks;HP;HP
Povlak /PVC obal na HP PG4-6/V6/S2;196.033;ks;HP;HP
Povlak /PVC obal na HP PG9-10/V9/S5;196.033;ks;HP;HP
Sklo skříně na RHP 3x170x170 P+H;28.017;ks;HP;HP
Sklíčko skříně na RHP          P+H;25.62;ks;HP;HP
Skříň na HP 2x6kg KOM 2x6 AZ/O;884.05;ks;HP;HP
Skříň na HP 6kg KOM 6 AZ/O;768.926;ks;HP;HP
Skříň na HP 9kg KOM 9 AZ/O;820.165;ks;HP;HP
Skříň na HP CO 5/6kg KOM CO5/6 AZ/O;1012.645;ks;HP;HP
Skříň na HP GLORIA;2214.298;ks;HP;HP
Skříň na HP PVC bez zámku HH;780.165;ks;HP;HP
Skříň na HP PVC se zámkem HH;1168.926;ks;HP;HP
Skříň na HP SG-2 malá;1046.198;ks;HP;HP
Skříň na HP SG-2 velká;1210.909;ks;HP;HP
Skříň na HP černá V6510 HH;1450.0;ks;HP;HP
Skříň na HP červená SHP620ČZ HH;864.0;ks;HP;HP
Skříň na RHP 28,5/65/29 O + Z Pavl.;833.967;ks;HP;HP
Skříň červená s vybavením;5600.0;ks;HP;HP
