cislo;cislo_vyr;zkratka;skupina;nazev;s_jednotky;s_dodavatel;dodavatel;dopl_udaj_zb;dopl_u1_udaj;dopl_u1_kusu;dopl_u1_kod;dopl_u2_udaj;dopl_u2_kusu;dopl_u2_kod;dopl_u3_udaj;dopl_u3_kusu;dopl_u3_kod;dopl_u4_udaj;dopl_u4_kusu;dopl_u4_kod;dopl_u5_udaj;dopl_u5_kusu;dopl_u5_kod;dopl_u6_udaj;dopl_u6_kusu;dopl_u6_kod;dopl_u7_udaj;dopl_u7_kusu;dopl_u7_kod;dopl_u8_udaj;dopl_u8_kusu;dopl_u8_kod;dopl_u9_udaj;dopl_u9_kusu;dopl_u9_kod;dopl_u10_udaj;dopl_u10_kusu;dopl_u10_kod;cena_n_prum;cena_n_posl;sazba_dph;dph_r;s_dph;cena_p1;cena_p1_dph;dph_p1;cena_p2;cena_p2_dph;dph_p2;cena_p3;cena_p3_dph;dph_p3;cena_p4;cena_p4_dph;dph_p4;oznaceni;cis_pozn;hmotnost;kusu;kusu_rezer;kusu_pozad;kusu_balen;min_zas;max_zas;typ_pol;spraz_pol;sp_typ_pol;sp_cislo;sp_kod;sp_skupina;sp_zkratka;sp_nazev;sp_s_jednotky;sp_mnozstvi;sp_prijimat;sp_t_slev_c_saz;sp_h_slev_c_saz;sp_c_slev_c_saz;sp_polozka_nazev;sp_polozka_cena_n;sp_polozka_dph;sp_polozka_cena_p1;sp_polozka_cena_p1_dph;sp_polozka_dph_p1;sp_polozka_cena_p2;sp_polozka_cena_p2_dph;sp_polozka_dph_p2;sp_polozka_cena_p3;sp_polozka_cena_p3_dph;sp_polozka_dph_p3;sp_polozka_cena_p4;sp_polozka_cena_p4_dph;sp_polozka_dph_p4;sp_polozka_rezerva;sp_polozka_rezerva2;sp_polozka_kusu;sp_polozka_kusu_rezer;sp_polozka_kusu_pozad;sp_polozka_kusu_balen;sp_polozka_hmotnost;sp_polozka_oznaceni;sp_polozka_kdy_bude;sp_polozka_souct_udaj;cis_podskl;do_i_obchodu;int_obchod_popis_adr;int_obchod_popis_soub;int_obchod_obrazek_adr;int_obchod_obrazek_soub;int_obchod_vyrobce;int_obchod_perex;int_obchod_kategorie;int_obchod_poradi;int_obchod_nove;int_obchod_akce;int_obchod_tip;k_cena_jedn;n_cena_jedn;vyr_cisla;souct_udaj;slevy_pc;vazena_polozka;rezerva;recykl_prisp;recykl_prisp_dph;recykl_prisp_pouziti;Unnamed: 127;cena;jednotka
55;02550008;VAPEX A-125;ostatní;"Absorbční mat.VAPEX ""A"" 125 ltr.";pyt;PERLIT PRAHA. spol. s r.o.;1059.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;294.96;294.96;1;0.21;21.0;383.471;464.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;50;10.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
81;02810003;VAPEX B-50;ostatní;"Absorbční mat.VAPEX ""B"" 50 ltr.";pyt;PERLIT PRAHA. spol. s r.o.;1059.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178.15;178.15;1;0.21;21.0;231.736;280.4;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;830;5.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
161;02161006;AHS práš.PG1F;HP;Autom.has.systém Firestop PG1F 4m;ks;TEPOSTOP spol. s r.o.;50.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2685.0;2685.0;1;0.21;21.0;3303.388;3997.1;0.21;2707.521;3276.1;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
428;SCB428;;VODA;B75 - nástavec podzemního hydrantu;ks;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3708.0;3708.0;1;0.21;21.0;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
124;02124001;Pero spoj. B75;ND VODA;B75 - pero ocelové spojky;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;3.0;1;0.21;21.0;3.884;4.7;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
429;SCB429;;VODA;B75 - set nástavce DN80 (špingle);ks;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;204.0;204.0;1;0.21;21.0;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
307;ZYFIRE;Had.B75 TECHNO;VODA;B75 hadice ZYFIRE TECHNO /spojka AL;ks;IDEAL SPACE s.r.o.;1476.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1686.0;1686.0;1;0.21;21.0;2276.033;2754.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;0.0;0.0;0.21;;820;0.0;0;0;0;0;1;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
402;hvv027/5m;Had.B75 zásah.P;VODA;B75 hadice pož. ZÁSAH (5m)/spojk.AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;414.0;414.0;1;0.21;21.0;517.521;626.2;0.21;0.0;0.0;0.21;0.0;0.0;0.21;460.0;556.6;0.21;;270;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
106;hvv027;Had.B75 zásah P;VODA;B75 hadice pož. ZÁSAH / spojka AL;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1656.0;1656.0;1;0.21;21.0;2070.0;2504.7;0.21;0.0;0.0;0.21;0.0;0.0;0.21;1840.0;2226.4;0.21;;80;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
28;vv135;Nástavec PHY;VODA;B75 nástavec podz. hydrantu s kul.u;ks;Pavliš a Hartmann spol. s r.o.;582.0;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3822.0;3822.0;1;0.21;21.0;4777.521;5780.8;0.21;0.0;0.0;0.21;0.0;0.0;0.21;3900.0;4719.0;0.21;;0;0.0;0;0;0;0;0;0;Z;False;O;;;;;;ks;1.0;True;N;0;D0;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;;;;;;;;;;;;0.0;;N;0.0;A;;;;;;;;
